id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,movementDate1,movementDate2,movementDate3,movementDate1R
47502,Marriage/Relationship split,Zoey,Pitbull/Mix,Grey and White,Dog,5 years 4 months.,Female,Adoption,02/27/2017,04/08/2017,Adult,4,8,2017,April
47502,Marriage/Relationship split,Zoey,Pitbull/Mix,Grey and White,Dog,5 years 4 months.,Female,Adoption,02/27/2017,06/01/2017,Adult,6,1,2017,June
47510,Abandoned,Maureen,Domestic Short Hair,Brown and Black,Cat,4 years 3 months.,Female,Adoption,02/28/2017,04/02/2017,Adult,4,2,2017,April
47511,Abandoned,Janet,DSH/Unknown,Grey,Cat,5 years 10 months.,Female,Adoption,02/28/2017,04/01/2017,Adult,4,1,2017,April
47520,Abandoned,Ruce,DSH/Unknown,Black and White,Cat,5 years 6 months.,Male,Adoption,03/02/2017,04/04/2017,Adult,4,4,2017,April
47521,Abandoned,Ramsay,DSH/Unknown,Orange and White,Cat,5 years 6 months.,Male,Adoption,03/02/2017,04/07/2017,Adult,4,7,2017,April
47538,Abandoned,Gus,Labrador Retriever/Coonhound,Chocolate,Dog,4 years 6 months.,Male,Adoption,03/04/2017,04/03/2017,Adult,4,3,2017,April
47539,Abandoned,Zack Attack,Domestic Short Hair/Unknown,Grey and White,Cat,7 years 1 month.,Male,Adoption,03/04/2017,04/01/2017,Mature,4,1,2017,April
47539,Abandoned,Zack Attack,Domestic Short Hair/Unknown,Grey and White,Cat,7 years 1 month.,Male,Adoption,03/04/2017,07/06/2020,Mature,7,6,2020,July
47540,Abandoned,Buggs,DSH/Unknown,Black,Cat,3 years 6 months.,Male,Adoption,03/04/2017,04/01/2017,Adult,4,1,2017,April
47558,Abandoned,Clyde,"Golden Retriever/Poodle, Standard",Golden,Dog,7 years 2 months.,Male,Adoption,03/06/2017,03/29/2017,Mature,3,29,2017,March
47558,Abandoned,Clyde,"Golden Retriever/Poodle, Standard",Golden,Dog,7 years 2 months.,Male,Adoption,03/06/2017,04/12/2017,Mature,4,12,2017,April
47562,Abandoned,Garden,DSH/Unknown,White,Cat,8 years 4 months.,Male,Adoption,03/06/2017,03/31/2017,Mature,3,31,2017,March
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,6 years 9 months.,Female,Foster,03/07/2017,03/10/2017,Adult,3,10,2017,March
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,6 years 9 months.,Female,Adoption,03/07/2017,04/15/2017,Adult,4,15,2017,April
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,6 years 9 months.,Female,Foster,03/07/2017,05/12/2017,Adult,5,12,2017,May
