id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,movementDate1,movementDate2,movementDate3,movementDate1R
58147,Biting,Honey,Pitbull/Mix,Tan,Dog,9 years 1 month.,Female,Reclaimed,11/27/2017,12/07/2017,Mature,12,7,2017,December
58150,Marriage/Relationship split,Pooh,German Shepherd Dog,Black,Dog,5 years 7 months.,Female,Adoption,11/27/2017,12/20/2017,Adult,12,20,2017,December
58150,Marriage/Relationship split,Pooh,German Shepherd Dog,Black,Dog,5 years 7 months.,Female,Adoption,11/27/2017,05/16/2018,Adult,5,16,2018,May
58158,Landlord issues,Charly,Domestic Short Hair,Black,Cat,4 years 2 months.,Male,Adoption,11/27/2017,12/16/2017,Adult,12,16,2017,December
58159,Landlord issues,Preston,Domestic Short Hair,Black and grey,Cat,4 years 2 months.,Male,Adoption,11/27/2017,12/16/2017,Adult,12,16,2017,December
58160,Stray,Marshmallow,Domestic Long Hair,"Brown, Black and White",Cat,8 years 7 months.,Male,Adoption,11/27/2017,12/21/2017,Mature,12,21,2017,December
58161,Stray,Jersey,Domestic Short Hair,Tabbico,Cat,10 years 10 months.,Female,Reclaimed,11/27/2017,11/28/2017,Mature,11,28,2017,November
58162,Incompatible with owner lifestyle,Sheena,Domestic Medium Hair,Tan and Brown,Cat,15 years 1 month.,Female,Adoption,11/27/2017,02/12/2018,Geriatric,2,12,2018,February
58164,Police Assist,Landon,Silky Terrier,Black,Dog,12 years 7 months.,Female,Reclaimed,11/28/2017,11/28/2017,Senior,11,28,2017,November
58165,Incompatible with owner lifestyle,Kylo Ren,Husky,White,Dog,5 years 2 months.,Male,Adoption,11/27/2017,12/20/2017,Adult,12,20,2017,December
58166,Stray,Luna,Domestic Short Hair,Black and grey,Cat,2 years 10 months.,Female,Adoption,11/28/2017,12/05/2017,Adult,12,5,2017,December
58166,Stray,Luna,Domestic Short Hair,Black and grey,Cat,2 years 10 months.,Female,Adoption,11/28/2017,12/18/2017,Adult,12,18,2017,December
58167,Incompatible with owner lifestyle,Smidge,Hound/Mix,Tan and White,Dog,2 years 9 months.,Male,Foster,11/28/2017,11/28/2017,Adult,11,28,2017,November
58167,Incompatible with owner lifestyle,Smidge,Hound/Mix,Tan and White,Dog,2 years 9 months.,Male,Adoption,11/28/2017,12/15/2017,Adult,12,15,2017,December
58168,Stray,Tonka,Hound/Mix,Tan and White,Dog,16 years 11 months.,Female,Reclaimed,11/28/2017,11/30/2017,Geriatric,11,30,2017,November
58169,Stray,Little Girl,Domestic Short Hair,Torbie,Cat,8 years 7 months.,Female,Adoption,11/28/2017,12/21/2017,Mature,12,21,2017,December
58169,Stray,Little Girl,Domestic Short Hair,Torbie,Cat,8 years 7 months.,Female,Adoption,11/28/2017,01/20/2018,Mature,1,20,2018,January
58170,Stray,Vincent,Yorkshire Terrier,Black and Brown,Dog,17 years 1 month.,Male,Reclaimed,11/28/2017,11/28/2017,Geriatric,11,28,2017,November
58171,Marriage/Relationship split,Bubbles,Domestic Short Hair,Orange,Cat,16 years 0 months.,Male,Adoption,11/28/2017,12/08/2017,Geriatric,12,8,2017,December
58172,Marriage/Relationship split,Gracie,Domestic Short Hair,Grey,Cat,13 years 9 months.,Female,Adoption,11/28/2017,01/25/2018,Senior,1,25,2018,January
58173,Marriage/Relationship split,Panda,Domestic Short Hair,White and Black,Cat,13 years 6 months.,Male,Adoption,11/28/2017,12/08/2017,Senior,12,8,2017,December
58174,Stray,D.O.G.,German Shepherd Dog/Akita,Brown and Black,Dog,4 years 9 months.,Male,Reclaimed,11/29/2017,12/02/2017,Adult,12,2,2017,December
58174,Stray,D.O.G.,German Shepherd Dog/Akita,Brown and Black,Dog,4 years 9 months.,Male,Adoption,11/29/2017,01/26/2019,Adult,1,26,2019,January
58179,Moving,Corkey,Cocker Spaniel,Tan,Dog,16 years 7 months.,Male,Foster,11/29/2017,12/05/2017,Geriatric,12,5,2017,December
58179,Moving,Corkey,Cocker Spaniel,Tan,Dog,16 years 7 months.,Male,Adoption,11/29/2017,12/19/2017,Geriatric,12,19,2017,December
58180,Stray,Calliope,Domestic Short Hair,Tortoiseshell,Cat,3 years 4 months.,Female,Adoption,11/29/2017,01/02/2018,Adult,1,2,2018,January
58181,Moving,Sissy,Chihuahua,Cream,Dog,10 years 7 months.,Female,Adoption,11/30/2017,12/13/2017,Mature,12,13,2017,December
58182,Moving,Sugar,Chihuahua,Cream,Dog,3 years 2 months.,Male,Adoption,11/30/2017,12/15/2017,Adult,12,15,2017,December
58183,Moving,Precious,Chihuahua,Cream,Dog,3 years 2 months.,Female,Adoption,11/30/2017,12/12/2017,Adult,12,12,2017,December
58184,Stray,Obi-wan Kenobi,American Bulldog/Mix,White and Black,Dog,7 years 9 months.,Male,Adoption,11/30/2017,12/22/2017,Mature,12,22,2017,December
58187,Stray,Bubbles,Labrador Retriever/Pointer,Black and White,Dog,3 years 5 months.,Female,Adoption,12/01/2017,12/26/2017,Adult,12,26,2017,December
58191,Stray,Luna,Labrador Retriever,Black,Dog,17 years 7 months.,Female,Reclaimed,12/01/2017,12/01/2017,Geriatric,12,1,2017,December
58192,Stray,Krampus,Domestic Short Hair,White and Grey,Cat,6 years 7 months.,Male,Adoption,12/01/2017,01/06/2018,Adult,1,6,2018,January
58193,Stray,Mrs. Claus,Domestic Short Hair,White and Black,Cat,6 years 7 months.,Female,Adoption,12/01/2017,01/06/2018,Adult,1,6,2018,January
58195,Stray,Frosty,Domestic Short Hair,Black and Brown,Cat,6 years 0 months.,Male,Adoption,12/01/2017,12/30/2017,Adult,12,30,2017,December
58196,Allergies,Jezebel,Domestic Short Hair,White and Black,Cat,12 years 10 months.,Female,Adoption,12/01/2017,01/22/2018,Senior,1,22,2018,January
58196,Allergies,Jezebel,Domestic Short Hair,White and Black,Cat,12 years 10 months.,Female,Transfer,12/01/2017,04/21/2018,Senior,4,21,2018,April
58198,Incompatible with owner lifestyle,Doug,Beagle/Hound,Brindle,Dog,2 years 10 months.,Male,Adoption,12/01/2017,12/05/2017,Adult,12,5,2017,December
58199,Stray,Taako,Pitbull,Black and White,Dog,3 years 5 months.,Male,Foster,12/02/2017,12/02/2017,Adult,12,2,2017,December
58199,Stray,Taako,Pitbull,Black and White,Dog,3 years 5 months.,Male,Adoption,12/02/2017,01/20/2018,Adult,1,20,2018,January
58202,Stray,Shadow,Belgian Shepherd,Black and Tan,Dog,10 years 6 months.,Male,Reclaimed,12/02/2017,12/02/2017,Mature,12,2,2017,December
58203,Stray,Miracle,Domestic Short Hair,Grey and White,Cat,3 years 7 months.,Male,Reclaimed,12/02/2017,12/05/2017,Adult,12,5,2017,December
58203,Stray,Miracle,Domestic Short Hair,Grey and White,Cat,3 years 7 months.,Male,Transfer,12/02/2017,12/06/2017,Adult,12,6,2017,December
58204,Litter relinquishment,Cuppycake,Labrador Retriever/Pitbull,Black and White,Dog,2 years 11 months.,Female,Adoption,12/02/2017,12/06/2017,Adult,12,6,2017,December
58205,Litter relinquishment,Sugar Pie,Labrador Retriever/Pitbull,Chocolate,Dog,2 years 11 months.,Female,Adoption,12/02/2017,12/06/2017,Adult,12,6,2017,December
58206,Litter relinquishment,Honeybunch,Labrador Retriever/Pitbull,Tan,Dog,2 years 11 months.,Male,Adoption,12/02/2017,12/06/2017,Adult,12,6,2017,December
58207,Litter relinquishment,Sweetie Pie,Labrador Retriever/Pitbull,Chocolate,Dog,2 years 11 months.,Male,Adoption,12/02/2017,12/10/2017,Adult,12,10,2017,December
58208,Rabies Monitoring,Stack,Pit Bull Terrier,Red,Dog,7 years 7 months.,Male,Reclaimed,12/02/2017,12/12/2017,Mature,12,12,2017,December
58209,Moving,Minnie,Shar Pei/Mix,Black and White,Dog,3 years 9 months.,Female,Adoption,12/02/2017,01/04/2018,Adult,1,4,2018,January
58209,Moving,Minnie,Shar Pei/Mix,Black and White,Dog,3 years 9 months.,Female,Adoption,12/02/2017,07/17/2018,Adult,7,17,2018,July
58209,Moving,Minnie,Shar Pei/Mix,Black and White,Dog,3 years 9 months.,Female,Adoption,12/02/2017,08/07/2018,Adult,8,7,2018,August
58210,Moving,Molly,Jack Russell Terrier/Mix,Tan and White,Dog,6 years 7 months.,Female,Adoption,12/02/2017,02/15/2018,Adult,2,15,2018,February
58211,Stray,Jonny Sleek,Beagle,White and Brown,Dog,7 years 7 months.,Male,Adoption,12/02/2017,12/12/2017,Mature,12,12,2017,December
58212,Moving,Valdez,Domestic Short Hair,White and Orange,Cat,8 years 6 months.,Male,Adoption,12/02/2017,12/30/2017,Mature,12,30,2017,December
58213,Stray,Penny Penelope,Pointer/Hound,White and Black,Dog,5 years 6 months.,Female,Adoption,12/02/2017,01/28/2018,Adult,1,28,2018,January
58213,Stray,Penny Penelope,Pointer/Hound,White and Black,Dog,5 years 6 months.,Female,Foster,12/02/2017,04/04/2018,Adult,4,4,2018,April
58213,Stray,Penny Penelope,Pointer/Hound,White and Black,Dog,5 years 6 months.,Female,Adoption,12/02/2017,04/13/2018,Adult,4,13,2018,April
58214,Landlord issues,Nicodemus (Nico),Beagle/Mix,Black and White,Dog,7 years 8 months.,Male,Adoption,12/02/2017,12/19/2017,Mature,12,19,2017,December
58214,Landlord issues,Nicodemus (Nico),Beagle/Mix,Black and White,Dog,7 years 8 months.,Male,Adoption,12/02/2017,03/10/2018,Mature,3,10,2018,March
58215,Stray,Zoey,Domestic Short Hair,Brown and Black,Cat,5 years 7 months.,Female,Adoption,12/03/2017,12/21/2017,Adult,12,21,2017,December
58215,Stray,Zoey,Domestic Short Hair,Brown and Black,Cat,5 years 7 months.,Female,Adoption,12/03/2017,05/11/2019,Adult,5,11,2019,May
58216,Stray,Bug,Pug,Brindle and Black,Dog,6 years 7 months.,Female,Reclaimed,12/03/2017,12/03/2017,Adult,12,3,2017,December
58217,Stray,Tubbers,Beagle/Hound,White and Black,Dog,10 years 8 months.,Male,Reclaimed,12/03/2017,12/04/2017,Mature,12,4,2017,December
58217,Stray,Tubbers,Beagle/Hound,White and Black,Dog,10 years 8 months.,Male,Reclaimed,12/03/2017,07/06/2018,Mature,7,6,2018,July
58218,Stray,Taz,Beagle,Tricolour,Dog,5 years 7 months.,Male,Adoption,12/03/2017,12/20/2017,Adult,12,20,2017,December
58219,Stray,Tiger,Domestic Short Hair,Orange and White,Cat,2 years 10 months.,Male,Adoption,12/03/2017,12/16/2017,Adult,12,16,2017,December
58220,Stray,Leia,Boston Terrier,Brindle and White,Dog,2 years 11 months.,Female,Reclaimed,12/03/2017,12/03/2017,Adult,12,3,2017,December
58222,Stray,Chloe,Treeing Walker Coonhound,Tricolour,Dog,2 years 11 months.,Female,Adoption,12/04/2017,12/15/2017,Adult,12,15,2017,December
58222,Stray,Chloe,Treeing Walker Coonhound,Tricolour,Dog,2 years 11 months.,Female,Adoption,12/04/2017,12/24/2017,Adult,12,24,2017,December
58222,Stray,Chloe,Treeing Walker Coonhound,Tricolour,Dog,2 years 11 months.,Female,Adoption,12/04/2017,04/18/2018,Adult,4,18,2018,April
58223,Stray,December,Domestic Short Hair,Calico,Cat,4 years 1 month.,Female,Adoption,12/04/2017,12/22/2017,Adult,12,22,2017,December
58224,Incompatible with owner lifestyle,George,Maine Coon/Domestic Long Hair,Black and Brown,Cat,7 years 7 months.,Male,Adoption,12/04/2017,12/20/2017,Mature,12,20,2017,December
58224,Incompatible with owner lifestyle,George,Maine Coon/Domestic Long Hair,Black and Brown,Cat,7 years 7 months.,Male,Adoption,12/04/2017,03/26/2018,Mature,3,26,2018,March
58225,Stray,Clifford,Walker Hound,Tricolour,Dog,9 years 6 months.,Male,Foster,12/04/2017,12/29/2017,Mature,12,29,2017,December
58225,Stray,Clifford,Walker Hound,Tricolour,Dog,9 years 6 months.,Male,Adoption,12/04/2017,02/05/2018,Mature,2,5,2018,February
58226,Litter relinquishment,Davy,Domestic Short Hair,Black and Brown,Cat,2 years 9 months.,Male,Foster,12/04/2017,12/07/2017,Adult,12,7,2017,December
58226,Litter relinquishment,Davy,Domestic Short Hair,Black and Brown,Cat,2 years 9 months.,Male,Adoption,12/04/2017,12/11/2017,Adult,12,11,2017,December
58227,Litter relinquishment,Mickey,Domestic Short Hair,Black and Brown,Cat,2 years 9 months.,Male,Foster,12/04/2017,12/07/2017,Adult,12,7,2017,December
58227,Litter relinquishment,Mickey,Domestic Short Hair,Black and Brown,Cat,2 years 9 months.,Male,Adoption,12/04/2017,12/12/2017,Adult,12,12,2017,December
58227,Litter relinquishment,Mickey,Domestic Short Hair,Black and Brown,Cat,2 years 9 months.,Male,Adoption,12/04/2017,07/16/2019,Adult,7,16,2019,July
58228,Litter relinquishment,Peter,Domestic Short Hair,Black,Cat,2 years 9 months.,Male,Foster,12/04/2017,12/07/2017,Adult,12,7,2017,December
58228,Litter relinquishment,Peter,Domestic Short Hair,Black,Cat,2 years 9 months.,Male,Adoption,12/04/2017,12/14/2017,Adult,12,14,2017,December
58229,Litter relinquishment,Chester,Domestic Short Hair,Orange,Cat,2 years 9 months.,Male,Foster,12/04/2017,12/07/2017,Adult,12,7,2017,December
58229,Litter relinquishment,Chester,Domestic Short Hair,Orange,Cat,2 years 9 months.,Male,Adoption,12/04/2017,12/12/2017,Adult,12,12,2017,December
58229,Litter relinquishment,Chester,Domestic Short Hair,Orange,Cat,2 years 9 months.,Male,Adoption,12/04/2017,07/16/2019,Adult,7,16,2019,July
58230,Owner Deceased,Isis,Domestic Short Hair,Black,Cat,11 years 9 months.,Female,Adoption,12/04/2017,12/22/2017,Senior,12,22,2017,December
58232,Stray,Jar Jar Binks,Domestic Short Hair,Orange,Cat,6 years 7 months.,Male,Adoption,12/04/2017,01/13/2018,Adult,1,13,2018,January
58234,Stray,Sookie,Domestic Long Hair,Dilute tortoiseshell,Cat,8 years 1 month.,Female,Reclaimed,12/05/2017,12/05/2017,Mature,12,5,2017,December
58235,Stray,Witts,Domestic Short Hair,Black and White,Cat,2 years 10 months.,Female,Adoption,12/05/2017,12/18/2017,Adult,12,18,2017,December
58236,Stray,Pokey,Domestic Short Hair,Grey and White,Cat,12 years 7 months.,Female,Transfer,12/05/2017,12/07/2017,Senior,12,7,2017,December
58240,Stray,Mona,Australian Cattle Dog/Mix,Tan and White,Dog,4 years 4 months.,Female,Foster,12/05/2017,12/11/2017,Adult,12,11,2017,December
58240,Stray,Mona,Australian Cattle Dog/Mix,Tan and White,Dog,4 years 4 months.,Female,Foster,12/05/2017,01/04/2018,Adult,1,4,2018,January
58240,Stray,Mona,Australian Cattle Dog/Mix,Tan and White,Dog,4 years 4 months.,Female,Adoption,12/05/2017,01/19/2018,Adult,1,19,2018,January
58241,Stray,Abbi,Domestic Short Hair,Torbie,Cat,2 years 10 months.,Female,Adoption,12/05/2017,12/13/2017,Adult,12,13,2017,December
58242,Stray,Llama,Domestic Long Hair,Torbie,Cat,2 years 10 months.,Female,Adoption,12/05/2017,12/13/2017,Adult,12,13,2017,December
58243,Stray,Simba,Domestic Short Hair,Black,Cat,32 years 7 months.,Female,Adoption,12/05/2017,12/13/2017,Unknown,12,13,2017,December
58244,Stray,Roo,Domestic Short Hair,Black,Cat,2 years 9 months.,Female,Adoption,12/05/2017,12/13/2017,Adult,12,13,2017,December
58245,Stray,Cruiser,Domestic Short Hair,Black,Cat,2 years 9 months.,Female,Adoption,12/05/2017,12/13/2017,Adult,12,13,2017,December
58246,Stray,Bunbun,Domestic Short Hair,Black,Cat,2 years 9 months.,Female,Adoption,12/05/2017,12/13/2017,Adult,12,13,2017,December
58247,Stray,Zeppo,Domestic Short Hair,Black,Cat,2 years 9 months.,Female,Adoption,12/05/2017,12/13/2017,Adult,12,13,2017,December
58249,Incompatible with owner lifestyle,Barney,Mastiff/Mix,Brindle,Dog,5 years 2 months.,Male,Adoption,12/06/2017,12/17/2017,Adult,12,17,2017,December
58251,Incompatible with owner lifestyle,Lucy,"Schnauzer, Miniature",Silver,Dog,16 years 6 months.,Female,Adoption,12/06/2017,12/29/2017,Geriatric,12,29,2017,December
58251,Incompatible with owner lifestyle,Lucy,"Schnauzer, Miniature",Silver,Dog,16 years 6 months.,Female,Adoption,12/06/2017,01/02/2018,Geriatric,1,2,2018,January
58252,Stray,Wally,Hound/Rottweiler,Black and Brown,Dog,12 years 6 months.,Male,Reclaimed,12/06/2017,12/06/2017,Senior,12,6,2017,December
58253,Stray,Javi,Domestic Short Hair,Grey and White,Cat,4 years 3 months.,Male,Reclaimed,12/06/2017,12/06/2017,Adult,12,6,2017,December
58254,Stray,Java,Domestic Short Hair,Orange,Cat,101 years 7 months.,Unknown,Transfer,12/06/2017,12/14/2017,Unknown,12,14,2017,December
58255,Stray,Edith,Domestic Medium Hair,Black,Cat,5 years 7 months.,Female,Adoption,12/07/2017,01/13/2018,Adult,1,13,2018,January
58257,Stray,Pigeon,Domestic Short Hair,Buff,Cat,9 years 7 months.,Male,Transfer,12/07/2017,12/22/2017,Mature,12,22,2017,December
58258,Stray,Speeds,Hound/Labrador Retriever,Black,Dog,3 years 0 months.,Male,Adoption,12/07/2017,12/27/2017,Adult,12,27,2017,December
58261,Incompatible with owner lifestyle,Suki,Siamese,Chocolate Point,Cat,8 years 7 months.,Female,Foster,12/08/2017,01/10/2018,Mature,1,10,2018,January
58261,Incompatible with owner lifestyle,Suki,Siamese,Chocolate Point,Cat,8 years 7 months.,Female,Adoption,12/08/2017,06/30/2018,Mature,6,30,2018,June
58262,Incompatible with owner lifestyle,Izzie,Domestic Short Hair,Tortoiseshell,Cat,30 years 7 months.,Female,Transfer,12/08/2017,12/14/2017,Unknown,12,14,2017,December
58263,Incompatible with owner lifestyle,Clyde,Domestic Short Hair,Black and Brown,Cat,2 years 10 months.,Unknown,Transfer,12/08/2017,12/14/2017,Adult,12,14,2017,December
58264,Incompatible with owner lifestyle,Pretzyl,Domestic Short Hair,Black,Cat,2 years 10 months.,Unknown,Transfer,12/08/2017,12/14/2017,Adult,12,14,2017,December
58266,Landlord issues,Lita,Labrador Retriever,Golden,Dog,3 years 3 months.,Female,Adoption,12/08/2017,12/13/2017,Adult,12,13,2017,December
58268,Incompatible with owner lifestyle,Maya,Weimaraner/Labrador Retriever,Blue,Dog,3 years 5 months.,Female,Adoption,12/08/2017,01/02/2018,Adult,1,2,2018,January
58268,Incompatible with owner lifestyle,Maya,Weimaraner/Labrador Retriever,Blue,Dog,3 years 5 months.,Female,Adoption,12/08/2017,06/25/2019,Adult,6,25,2019,June
58269,Incompatible with owner lifestyle,Hannah,Saint Bernard,Red and White,Dog,5 years 7 months.,Female,Adoption,12/09/2017,12/19/2017,Adult,12,19,2017,December
58270,Stray,Jazzmine,Shep Mix,Tan and White,Dog,3 years 1 month.,Female,Adoption,12/09/2017,12/19/2017,Adult,12,19,2017,December
58272,Allergies,Marshall,Labrador Retriever,Chocolate,Dog,4 years 7 months.,Male,Adoption,12/09/2017,12/28/2017,Adult,12,28,2017,December
58273,Stray,Mister Pigglesworth,Domestic Short Hair,Orange and White,Cat,2 years 11 months.,Male,Adoption,12/09/2017,01/22/2018,Adult,1,22,2018,January
58274,Stray,Cordova,Domestic Short Hair,Torbie,Cat,2 years 11 months.,Female,Adoption,12/09/2017,01/22/2018,Adult,1,22,2018,January
58275,Incompatible with owner lifestyle,Fireball,Domestic Long Hair,Orange,Cat,4 years 2 months.,Male,Adoption,12/09/2017,12/17/2017,Adult,12,17,2017,December
58276,Incompatible with owner lifestyle,Scrappy,Domestic Short Hair,Black and White,Cat,5 years 7 months.,Female,Transfer,12/09/2017,12/15/2017,Adult,12,15,2017,December
58277,Stray,Jacqui,Hound,Brindle,Dog,8 years 7 months.,Female,Adoption,12/10/2017,01/04/2018,Mature,1,4,2018,January
58278,Stray,Ricki,Terrier/Mix,Tan and White,Dog,7 years 6 months.,Female,Reclaimed,12/11/2017,12/11/2017,Mature,12,11,2017,December
58279,Stray,Aspen,Domestic Short Hair,Grey,Cat,2 years 8 months.,Female,Foster,12/11/2017,12/14/2017,Adult,12,14,2017,December
58279,Stray,Aspen,Domestic Short Hair,Grey,Cat,2 years 8 months.,Female,Foster,12/11/2017,12/19/2017,Adult,12,19,2017,December
58279,Stray,Aspen,Domestic Short Hair,Grey,Cat,2 years 8 months.,Female,Adoption,12/11/2017,01/30/2018,Adult,1,30,2018,January
58280,Stray,Clark Kent,Rottweiler,Black,Dog,8 years 7 months.,Male,Foster,12/11/2017,12/22/2017,Mature,12,22,2017,December
58280,Stray,Clark Kent,Rottweiler,Black,Dog,8 years 7 months.,Male,Adoption,12/11/2017,01/20/2018,Mature,1,20,2018,January
58281,Stray,Mr. Echo,Domestic Short Hair,"Brown, Black and White",Cat,4 years 0 months.,Male,Adoption,12/12/2017,01/24/2018,Adult,1,24,2018,January
58283,Stray,Thor,Great Dane,White and Black,Dog,4 years 9 months.,Male,Reclaimed,12/12/2017,12/13/2017,Adult,12,13,2017,December
58283,Stray,Thor,Great Dane,White and Black,Dog,4 years 9 months.,Male,Adoption,12/12/2017,10/02/2018,Adult,10,2,2018,October
58284,Stray,Tahoe,Domestic Short Hair,Grey and White,Cat,5 years 0 months.,Male,Adoption,12/12/2017,01/05/2018,Adult,1,5,2018,January
58286,Moving,Mimi,Domestic Short Hair,Grey and White,Cat,3 years 10 months.,Male,Adoption,12/12/2017,12/20/2017,Adult,12,20,2017,December
58287,Stray,Dionne,Australian Cattle Dog/Mix,Brown,Dog,2 years 7 months.,Female,Foster,12/12/2017,12/13/2017,Adult,12,13,2017,December
58287,Stray,Dionne,Australian Cattle Dog/Mix,Brown,Dog,2 years 7 months.,Female,Foster,12/12/2017,01/04/2018,Adult,1,4,2018,January
58287,Stray,Dionne,Australian Cattle Dog/Mix,Brown,Dog,2 years 7 months.,Female,Adoption,12/12/2017,01/17/2018,Adult,1,17,2018,January
58288,Stray,Cher,Australian Cattle Dog/Mix,Brown and White,Dog,2 years 7 months.,Female,Foster,12/12/2017,12/13/2017,Adult,12,13,2017,December
58288,Stray,Cher,Australian Cattle Dog/Mix,Brown and White,Dog,2 years 7 months.,Female,Foster,12/12/2017,01/04/2018,Adult,1,4,2018,January
58288,Stray,Cher,Australian Cattle Dog/Mix,Brown and White,Dog,2 years 7 months.,Female,Adoption,12/12/2017,01/19/2018,Adult,1,19,2018,January
58290,Incompatible with owner lifestyle,Millie,Beagle,Brown and White,Dog,9 years 6 months.,Female,Transfer,12/13/2017,12/17/2017,Mature,12,17,2017,December
58291,Stray,Scrappie,Domestic Short Hair,Grey and White,Cat,8 years 6 months.,Female,Transfer,12/13/2017,01/09/2018,Mature,1,9,2018,January
58293,Litter relinquishment,Greyson,Domestic Short Hair,Grey,Cat,2 years 10 months.,Male,Foster,12/13/2017,12/16/2017,Adult,12,16,2017,December
58293,Litter relinquishment,Greyson,Domestic Short Hair,Grey,Cat,2 years 10 months.,Male,Adoption,12/13/2017,01/05/2018,Adult,1,5,2018,January
58294,Litter relinquishment,Jones Magoo,Domestic Short Hair,Orange,Cat,3 years 3 months.,Male,Foster,12/13/2017,12/16/2017,Adult,12,16,2017,December
58294,Litter relinquishment,Jones Magoo,Domestic Short Hair,Orange,Cat,3 years 3 months.,Male,Adoption,12/13/2017,01/05/2018,Adult,1,5,2018,January
58294,Litter relinquishment,Jones Magoo,Domestic Short Hair,Orange,Cat,3 years 3 months.,Male,Adoption,12/13/2017,01/10/2018,Adult,1,10,2018,January
58295,Litter relinquishment,Richard,Domestic Short Hair,Black,Cat,2 years 10 months.,Male,Foster,12/13/2017,12/16/2017,Adult,12,16,2017,December
58295,Litter relinquishment,Richard,Domestic Short Hair,Black,Cat,2 years 10 months.,Male,Adoption,12/13/2017,01/05/2018,Adult,1,5,2018,January
58296,Litter relinquishment,Brando,Domestic Short Hair,Buff,Cat,2 years 10 months.,Male,Foster,12/13/2017,12/16/2017,Adult,12,16,2017,December
58296,Litter relinquishment,Brando,Domestic Short Hair,Buff,Cat,2 years 10 months.,Male,Adoption,12/13/2017,01/06/2018,Adult,1,6,2018,January
58296,Litter relinquishment,Brando,Domestic Short Hair,Buff,Cat,2 years 10 months.,Male,Adoption,12/13/2017,06/01/2019,Adult,6,1,2019,June
58297,Incompatible with owner lifestyle,Mocha,Heeler/Labrador Retriever,White and Tan,Dog,2 years 10 months.,Female,Adoption,12/13/2017,12/19/2017,Adult,12,19,2017,December
58299,Stray,Winston,Domestic Short Hair,Black,Cat,8 years 1 month.,Male,Adoption,12/14/2017,12/29/2017,Mature,12,29,2017,December
58300,Unable to Afford,Royal,Domestic Short Hair,Dilute calico,Cat,5 years 6 months.,Female,Adoption,12/14/2017,12/26/2017,Adult,12,26,2017,December
58304,Stray,Chubs,Labrador Retriever,Brown,Dog,3 years 6 months.,Male,Adoption,12/14/2017,01/04/2018,Adult,1,4,2018,January
58305,Stray,Pete,Mix,Brown and White,Dog,2 years 11 months.,Male,Adoption,12/15/2017,12/24/2017,Adult,12,24,2017,December
58306,Stray,Annabelle,Lhasa Apso/Shih Tzu,Cream,Dog,3 years 4 months.,Female,Adoption,12/15/2017,12/23/2017,Adult,12,23,2017,December
58307,Stray,Teeny Tim,Beagle/Rat Terrier,Tricolour,Dog,2 years 8 months.,Male,Reclaimed,12/15/2017,12/16/2017,Adult,12,16,2017,December
58308,Moving,Lucinda,Snowshoe,Cream,Cat,7 years 9 months.,Female,Adoption,12/15/2017,12/18/2017,Mature,12,18,2017,December
58309,Stray,Mistletoe,Domestic Short Hair,Black,Cat,4 years 6 months.,Male,Adoption,12/16/2017,01/26/2018,Adult,1,26,2018,January
58310,Incompatible with owner lifestyle,Morgan,Hound/Golden Retriever,Tan and White,Dog,5 years 6 months.,Female,Adoption,12/16/2017,12/26/2017,Adult,12,26,2017,December
58310,Incompatible with owner lifestyle,Morgan,Hound/Golden Retriever,Tan and White,Dog,5 years 6 months.,Female,Adoption,12/16/2017,04/21/2020,Adult,4,21,2020,April
58310,Incompatible with owner lifestyle,Morgan,Hound/Golden Retriever,Tan and White,Dog,5 years 6 months.,Female,Adoption,12/16/2017,06/11/2020,Adult,6,11,2020,June
58311,Stray,Blizzard,Domestic Short Hair,Black and White,Cat,5 years 6 months.,Female,Transfer,12/16/2017,12/27/2017,Adult,12,27,2017,December
58312,Stray,Bmo,Domestic Short Hair,Orange,Cat,4 years 2 months.,Female,Reclaimed,12/16/2017,12/16/2017,Adult,12,16,2017,December
58313,Incompatible with owner lifestyle,Oliver,Labrador Retriever/Beagle,White,Dog,12 years 0 months.,Male,Adoption,12/16/2017,01/07/2018,Senior,1,7,2018,January
58313,Incompatible with owner lifestyle,Oliver,Labrador Retriever/Beagle,White,Dog,12 years 0 months.,Male,Adoption,12/16/2017,02/10/2018,Senior,2,10,2018,February
58314,Incompatible with owner lifestyle,Moca,Domestic Short Hair,Black and grey,Cat,5 years 0 months.,Male,Adoption,12/16/2017,01/18/2018,Adult,1,18,2018,January
58315,Incompatible with owner lifestyle,Midnight,Domestic Short Hair,Black and White,Cat,5 years 0 months.,Male,Adoption,12/16/2017,12/23/2017,Adult,12,23,2017,December
58316,Stray,Pearl,Beagle/Labrador Retriever,Yellow,Dog,3 years 6 months.,Female,Foster,12/16/2017,12/30/2017,Adult,12,30,2017,December
58316,Stray,Pearl,Beagle/Labrador Retriever,Yellow,Dog,3 years 6 months.,Female,Adoption,12/16/2017,02/26/2018,Adult,2,26,2018,February
58319,Abandoned,Noelle,Domestic Long Hair,Brown and Black,Cat,5 years 6 months.,Female,Adoption,12/17/2017,02/10/2018,Adult,2,10,2018,February
58322,Stray,May,Pitbull,Black,Dog,5 years 1 month.,Female,Adoption,12/17/2017,03/01/2018,Adult,3,1,2018,March
58323,Stray,Nutmeg,Domestic Long Hair,Orange,Cat,3 years 6 months.,Female,Foster,12/18/2017,01/16/2018,Adult,1,16,2018,January
