id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,DogAgeGroup,movementMonth,movementDay,movementYear,intakeMonth,intakeDay,intakeYear
47414,Abandoned,Beemo,Pitbull/Mix,Blue,Dog,8 years 5 months.,Male,Reclaimed,02/16/2017,07/22/2017,Mature,Mature,07,22,2017,02,16,2017
47414,Abandoned,Beemo,Pitbull/Mix,Blue,Dog,8 years 5 months.,Male,Reclaimed,02/16/2017,09/02/2017,Mature,Mature,09,02,2017,02,16,2017
47429,Abandoned,Ellen,British Shorthair/Unknown,Grey,Cat,13 years 4 months.,Female,Foster,02/18/2017,03/05/2017,Senior,Geriatric,03,05,2017,02,18,2017
47429,Abandoned,Ellen,British Shorthair/Unknown,Grey,Cat,13 years 4 months.,Female,Adoption,02/18/2017,04/26/2017,Senior,Geriatric,04,26,2017,02,18,2017
47502,Marriage/Relationship split,Zoey,Pitbull/Mix,Grey and White,Dog,5 years 4 months.,Female,Adoption,02/27/2017,04/08/2017,Adult,Adult,04,08,2017,02,27,2017
47502,Marriage/Relationship split,Zoey,Pitbull/Mix,Grey and White,Dog,5 years 4 months.,Female,Adoption,02/27/2017,06/01/2017,Adult,Adult,06,01,2017,02,27,2017
47510,Abandoned,Maureen,Domestic Short Hair,Brown and Black,Cat,4 years 3 months.,Female,Adoption,02/28/2017,04/02/2017,Adult,Adult,04,02,2017,02,28,2017
47511,Abandoned,Janet,DSH/Unknown,Grey,Cat,5 years 10 months.,Female,Adoption,02/28/2017,04/01/2017,Adult,Adult,04,01,2017,02,28,2017
47520,Abandoned,Ruce,DSH/Unknown,Black and White,Cat,5 years 6 months.,Male,Adoption,03/02/2017,04/04/2017,Adult,Adult,04,04,2017,03,02,2017
47521,Abandoned,Ramsay,DSH/Unknown,Orange and White,Cat,5 years 6 months.,Male,Adoption,03/02/2017,04/07/2017,Adult,Adult,04,07,2017,03,02,2017
47538,Abandoned,Gus,Labrador Retriever/Coonhound,Chocolate,Dog,4 years 6 months.,Male,Adoption,03/04/2017,04/03/2017,Adult,Adult,04,03,2017,03,04,2017
47539,Abandoned,Zack Attack,Domestic Short Hair/Unknown,Grey and White,Cat,7 years 1 month.,Male,Adoption,03/04/2017,04/01/2017,Mature,Mature,04,01,2017,03,04,2017
47539,Abandoned,Zack Attack,Domestic Short Hair/Unknown,Grey and White,Cat,7 years 1 month.,Male,Adoption,03/04/2017,07/06/2020,Mature,Mature,07,06,2020,03,04,2017
47540,Abandoned,Buggs,DSH/Unknown,Black,Cat,3 years 6 months.,Male,Adoption,03/04/2017,04/01/2017,Adult,Adult,04,01,2017,03,04,2017
47558,Abandoned,Clyde,"Golden Retriever/Poodle, Standard",Golden,Dog,7 years 2 months.,Male,Adoption,03/06/2017,03/29/2017,Mature,Mature,03,29,2017,03,06,2017
47558,Abandoned,Clyde,"Golden Retriever/Poodle, Standard",Golden,Dog,7 years 2 months.,Male,Adoption,03/06/2017,04/12/2017,Mature,Mature,04,12,2017,03,06,2017
47562,Abandoned,Garden,DSH/Unknown,White,Cat,8 years 4 months.,Male,Adoption,03/06/2017,03/31/2017,Mature,Mature,03,31,2017,03,06,2017
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,6 years 9 months.,Female,Foster,03/07/2017,03/10/2017,Adult,Mature,03,10,2017,03,07,2017
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,6 years 9 months.,Female,Adoption,03/07/2017,04/15/2017,Adult,Mature,04,15,2017,03,07,2017
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,6 years 9 months.,Female,Foster,03/07/2017,05/12/2017,Adult,Mature,05,12,2017,03,07,2017
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,6 years 9 months.,Female,Adoption,03/07/2017,05/16/2017,Adult,Mature,05,16,2017,03,07,2017
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,6 years 9 months.,Female,Adoption,03/07/2017,12/30/2017,Adult,Mature,12,30,2017,03,07,2017
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,6 years 9 months.,Female,Adoption,03/07/2017,10/15/2018,Adult,Mature,10,15,2018,03,07,2017
47576,Abandoned,Patty,Pitbull,Tan,Dog,4 years 9 months.,Female,Adoption,03/07/2017,06/05/2017,Adult,Adult,06,05,2017,03,07,2017
47582,Abandoned,Dibs,Pitbull/Mix,White,Dog,5 years 9 months.,Male,Adoption,03/07/2017,04/25/2017,Adult,Adult,04,25,2017,03,07,2017
47591,Abandoned,Serafina,Papillon,White,Dog,8 years 4 months.,Female,Foster,03/09/2017,03/16/2017,Mature,Mature,03,16,2017,03,09,2017
47591,Abandoned,Serafina,Papillon,White,Dog,8 years 4 months.,Female,Adoption,03/09/2017,05/22/2017,Mature,Mature,05,22,2017,03,09,2017
47595,Owner Deceased,Zips,Domestic Short Hair,Black and White,Cat,11 years 4 months.,Female,Adoption,03/09/2017,06/16/2017,Senior,Senior,06,16,2017,03,09,2017
47613,Abandoned,Little Dude,Beagle,Tricolour,Dog,7 years 3 months.,Male,Adoption,03/10/2017,04/02/2017,Mature,Mature,04,02,2017,03,10,2017
