speciesname,intakeMonth,intakeMonthR,id,movementMonth,DogAgeGroup,intakeYear,movementDate1R,intakereason,movementYear,movementtype,sexname,CatAgeGroup
Dog,3,February,47575,5,Mature,2017,May,Moving,2017,1,Female,Adult
Dog,3,February,47575,4,Mature,2017,April,Moving,2017,0,Female,Adult
Dog,3,February,47575,4,Mature,2017,May,Moving,2017,0,Female,Adult
Dog,3,February,47575,4,Mature,2017,December,Moving,2017,0,Female,Adult
Dog,3,February,47575,4,Mature,2017,October,Moving,2017,0,Female,Adult
Dog,3,February,47575,5,Mature,2017,April,Moving,2017,0,Female,Adult
Dog,3,February,47575,5,Mature,2017,May,Moving,2017,0,Female,Adult
Dog,3,February,47575,5,Mature,2017,December,Moving,2017,0,Female,Adult
Dog,3,February,47575,5,Mature,2017,October,Moving,2017,0,Female,Adult
Dog,3,February,47575,12,Mature,2017,April,Moving,2017,0,Female,Adult
Dog,3,February,47575,12,Mature,2017,May,Moving,2017,0,Female,Adult
Dog,3,February,47575,12,Mature,2017,December,Moving,2017,0,Female,Adult
Dog,3,February,47575,12,Mature,2017,October,Moving,2017,0,Female,Adult
Dog,3,February,47575,10,Mature,2017,April,Moving,2018,0,Female,Adult
Dog,3,February,47575,10,Mature,2017,May,Moving,2018,0,Female,Adult
Dog,3,February,47575,10,Mature,2017,December,Moving,2018,0,Female,Adult
Dog,3,February,47575,10,Mature,2017,October,Moving,2018,0,Female,Adult
Dog,3,February,47576,6,Adult,2017,June,Abandoned,2017,0,Female,Adult
Dog,3,February,47582,4,Adult,2017,April,Abandoned,2017,0,Male,Adult
Dog,3,February,47591,3,Mature,2017,March,Abandoned,2017,1,Female,Mature
Dog,3,February,47591,5,Mature,2017,May,Abandoned,2017,0,Female,Mature
Cat,3,February,47595,6,Senior,2017,June,Owner Deceased,2017,0,Female,Senior
Dog,3,February,47613,4,Mature,2017,April,Abandoned,2017,0,Male,Mature
Dog,3,February,47613,4,Mature,2017,September,Abandoned,2017,0,Male,Mature
Dog,3,February,47613,9,Mature,2017,April,Abandoned,2017,0,Male,Mature
Dog,3,February,47613,9,Mature,2017,September,Abandoned,2017,0,Male,Mature
Dog,3,February,47613,9,Mature,2017,September,Abandoned,2017,1,Male,Mature
Cat,3,February,47617,4,Mature,2017,April,Abandoned,2017,0,Female,Mature
Cat,3,February,47627,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47627,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Cat,3,February,47628,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47628,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Cat,3,February,47629,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47629,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Cat,3,February,47630,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47630,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47630,4,Adult,2017,May,Abandoned,2017,1,Male,Adult
Cat,3,February,47630,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47630,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47630,4,Adult,2017,May,Abandoned,2017,1,Male,Adult
Cat,3,February,47630,5,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47630,5,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47630,5,Adult,2017,May,Abandoned,2017,1,Male,Adult
Cat,3,February,47630,6,Adult,2017,June,Abandoned,2017,0,Male,Adult
Cat,3,February,47631,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47631,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47631,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47631,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47631,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Cat,3,February,47632,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47632,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47632,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47632,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47632,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Cat,3,February,47633,4,Adult,2017,April,Abandoned,2017,1,Female,Adult
Cat,3,February,47633,5,Adult,2017,May,Abandoned,2017,0,Female,Adult
Cat,3,February,47634,4,Adult,2017,April,Abandoned,2017,1,Female,Adult
Cat,3,February,47634,5,Adult,2017,May,Abandoned,2017,0,Female,Adult
Cat,3,February,47635,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47635,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Cat,3,February,47636,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47636,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Cat,3,February,47637,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47637,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Cat,3,February,47638,4,Mature,2017,April,Abandoned,2017,1,Female,Adult
Cat,3,February,47638,5,Mature,2017,May,Abandoned,2017,0,Female,Adult
Dog,3,February,47639,3,Adult,2017,March,Abandoned,2017,0,Male,Adult
Dog,3,February,47639,3,Adult,2017,April,Abandoned,2017,0,Male,Adult
Dog,3,February,47639,3,Adult,2017,March,Abandoned,2017,0,Male,Adult
Dog,3,February,47639,3,Adult,2017,June,Abandoned,2017,0,Male,Adult
Dog,3,February,47639,4,Adult,2017,March,Abandoned,2017,0,Male,Adult
Dog,3,February,47639,4,Adult,2017,April,Abandoned,2017,0,Male,Adult
Dog,3,February,47639,4,Adult,2017,March,Abandoned,2017,0,Male,Adult
Dog,3,February,47639,4,Adult,2017,June,Abandoned,2017,0,Male,Adult
Dog,3,February,47639,3,Adult,2017,March,Abandoned,2019,0,Male,Adult
Dog,3,February,47639,3,Adult,2017,April,Abandoned,2019,0,Male,Adult
Dog,3,February,47639,3,Adult,2017,March,Abandoned,2019,0,Male,Adult
Dog,3,February,47639,3,Adult,2017,June,Abandoned,2019,0,Male,Adult
Dog,3,February,47639,6,Adult,2017,March,Abandoned,2019,0,Male,Adult
Dog,3,February,47639,6,Adult,2017,April,Abandoned,2019,0,Male,Adult
Dog,3,February,47639,6,Adult,2017,March,Abandoned,2019,0,Male,Adult
Dog,3,February,47639,6,Adult,2017,June,Abandoned,2019,0,Male,Adult
Dog,3,February,47639,5,Adult,2017,May,Abandoned,2019,1,Male,Adult
Cat,3,February,47659,4,Adult,2017,April,Abandoned,2017,0,Male,Adult
Cat,3,February,47661,4,Adult,2017,April,Abandoned,2017,0,Male,Adult
Dog,3,February,47662,4,Mature,2017,April,Abandoned,2017,0,Female,Mature
Dog,3,February,47665,4,Mature,2017,April,Abandoned,2017,0,Female,Adult
Dog,3,February,47665,4,Mature,2017,June,Abandoned,2017,0,Female,Adult
Dog,3,February,47665,6,Mature,2017,April,Abandoned,2017,0,Female,Adult
Dog,3,February,47665,6,Mature,2017,June,Abandoned,2017,0,Female,Adult
Dog,3,February,47681,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Dog,3,February,47683,4,Adult,2017,April,Abandoned,2017,0,Male,Adult
Cat,3,February,47684,4,Geriatric,2017,April,Abandoned,2017,1,Female,Geriatric
Cat,3,February,47684,4,Geriatric,2017,July,Abandoned,2017,1,Female,Geriatric
Cat,3,February,47684,7,Geriatric,2017,April,Abandoned,2017,1,Female,Geriatric
Cat,3,February,47684,7,Geriatric,2017,July,Abandoned,2017,1,Female,Geriatric
Cat,3,February,47684,7,Geriatric,2017,July,Abandoned,2017,0,Female,Geriatric
Cat,3,February,47685,4,Geriatric,2017,April,Abandoned,2017,0,Female,Geriatric
Cat,3,February,47685,5,Geriatric,2017,May,Abandoned,2018,1,Female,Geriatric
Cat,3,February,47688,3,Adult,2017,March,Abandoned,2017,1,Female,Adult
Cat,3,February,47688,4,Adult,2017,April,Abandoned,2017,0,Female,Adult
Dog,3,February,47695,3,Adult,2017,March,Abandoned,2017,0,Male,Adult
Cat,3,February,47696,4,Adult,2017,April,Abandoned,2017,0,Male,Adult
Cat,3,February,47697,4,Adult,2017,April,Abandoned,2017,0,Male,Adult
Cat,3,February,47698,3,Mature,2017,March,Stray,2017,1,Female,Adult
Cat,3,February,47698,6,Mature,2017,June,Stray,2017,0,Female,Adult
Dog,3,February,47702,4,Senior,2017,April,Abandoned,2017,0,Female,Mature
Cat,3,February,47703,4,Adult,2017,April,Abandoned,2017,1,Female,Adult
Cat,3,February,47703,5,Adult,2017,May,Abandoned,2017,0,Female,Adult
Dog,3,February,47704,4,Adult,2017,April,Abandoned,2017,0,Male,Adult
Cat,3,February,47707,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47707,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Cat,3,February,47708,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Cat,3,February,47708,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Dog,3,February,47710,4,Mature,2017,April,Abandoned,2017,1,Male,Mature
Dog,3,February,47712,3,Adult,2017,March,Stray,2017,0,Female,Adult
Dog,3,February,47712,3,Adult,2017,August,Stray,2017,0,Female,Adult
Dog,3,February,47712,8,Adult,2017,March,Stray,2017,0,Female,Adult
Dog,3,February,47712,8,Adult,2017,August,Stray,2017,0,Female,Adult
Dog,3,February,47712,3,Adult,2017,March,Stray,2018,1,Female,Adult
Dog,3,February,47714,5,Mature,2017,May,Abandoned,2017,0,Male,Adult
Dog,3,February,47715,5,Mature,2017,May,Abandoned,2017,1,Female,Mature
Dog,3,February,47715,7,Mature,2017,July,Abandoned,2017,0,Female,Mature
Dog,3,February,47717,6,Mature,2017,June,Police Assist,2017,0,Female,Adult
Dog,3,February,47717,6,Mature,2017,January,Police Assist,2017,0,Female,Adult
Dog,3,February,47717,1,Mature,2017,June,Police Assist,2018,0,Female,Adult
Dog,3,February,47717,1,Mature,2017,January,Police Assist,2018,0,Female,Adult
Dog,3,February,47718,5,Mature,2017,May,Abandoned,2017,0,Male,Mature
Dog,3,February,47718,5,Mature,2017,September,Abandoned,2017,0,Male,Mature
Dog,3,February,47718,9,Mature,2017,May,Abandoned,2017,0,Male,Mature
Dog,3,February,47718,9,Mature,2017,September,Abandoned,2017,0,Male,Mature
Dog,3,February,47721,4,Adult,2017,April,Incompatible with owner lifestyle,2017,0,Male,Adult
Dog,3,February,47721,4,Adult,2017,June,Incompatible with owner lifestyle,2017,0,Male,Adult
Dog,3,February,47721,6,Adult,2017,April,Incompatible with owner lifestyle,2017,0,Male,Adult
Dog,3,February,47721,6,Adult,2017,June,Incompatible with owner lifestyle,2017,0,Male,Adult
Dog,3,February,47727,4,Senior,2017,April,Abandoned,2017,0,Male,Senior
Dog,3,February,47727,4,Senior,2017,November,Abandoned,2017,0,Male,Senior
Dog,3,February,47727,11,Senior,2017,April,Abandoned,2017,0,Male,Senior
Dog,3,February,47727,11,Senior,2017,November,Abandoned,2017,0,Male,Senior
Dog,3,February,47728,4,Geriatric,2017,April,Abandoned,2017,0,Male,Geriatric
Cat,3,February,47730,4,Adult,2017,April,Abandoned,2017,0,Male,Adult
Dog,3,February,47738,4,Mature,2017,April,Biting,2017,1,Male,Adult
Dog,3,February,47742,4,Adult,2017,April,Abandoned,2017,0,Male,Adult
Dog,3,February,47744,4,Adult,2017,April,Abandoned,2017,1,Female,Adult
Dog,3,February,47744,5,Adult,2017,May,Abandoned,2017,0,Female,Adult
Dog,3,February,47747,3,Adult,2017,March,Abandoned,2017,1,Female,Adult
Dog,3,February,47747,5,Adult,2017,May,Abandoned,2017,0,Female,Adult
Dog,3,February,47748,3,Adult,2017,March,Abandoned,2017,1,Female,Adult
Dog,3,February,47748,5,Adult,2017,May,Abandoned,2017,0,Female,Adult
Dog,3,February,47749,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Dog,3,February,47749,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Dog,3,February,47750,3,Adult,2017,March,Abandoned,2017,1,Female,Adult
Dog,3,February,47750,5,Adult,2017,May,Abandoned,2017,0,Female,Adult
Dog,3,February,47751,3,Adult,2017,March,Abandoned,2017,1,Male,Adult
Dog,3,February,47751,3,Adult,2017,April,Abandoned,2017,1,Male,Adult
Dog,3,February,47751,4,Adult,2017,March,Abandoned,2017,1,Male,Adult
Dog,3,February,47751,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Dog,3,February,47751,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Dog,3,February,47751,5,Adult,2017,January,Abandoned,2017,0,Male,Adult
Dog,3,February,47751,5,Adult,2017,July,Abandoned,2017,0,Male,Adult
Dog,3,February,47751,1,Adult,2017,May,Abandoned,2020,0,Male,Adult
Dog,3,February,47751,1,Adult,2017,January,Abandoned,2020,0,Male,Adult
Dog,3,February,47751,1,Adult,2017,July,Abandoned,2020,0,Male,Adult
Dog,3,February,47751,7,Adult,2017,May,Abandoned,2020,0,Male,Adult
Dog,3,February,47751,7,Adult,2017,January,Abandoned,2020,0,Male,Adult
Dog,3,February,47751,7,Adult,2017,July,Abandoned,2020,0,Male,Adult
Dog,3,February,47752,3,Adult,2017,March,Abandoned,2017,1,Male,Adult
Dog,3,February,47752,3,Adult,2017,April,Abandoned,2017,1,Male,Adult
Dog,3,February,47752,4,Adult,2017,March,Abandoned,2017,1,Male,Adult
Dog,3,February,47752,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Dog,3,February,47752,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Dog,3,February,47753,3,Adult,2017,March,Abandoned,2017,1,Male,Adult
Dog,3,February,47753,3,Adult,2017,April,Abandoned,2017,1,Male,Adult
Dog,3,February,47753,4,Adult,2017,March,Abandoned,2017,1,Male,Adult
Dog,3,February,47753,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Dog,3,February,47753,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Dog,3,February,47753,5,Adult,2017,July,Abandoned,2017,0,Male,Adult
Dog,3,February,47753,7,Adult,2017,May,Abandoned,2018,0,Male,Adult
Dog,3,February,47753,7,Adult,2017,July,Abandoned,2018,0,Male,Adult
Dog,3,February,47754,3,Adult,2017,March,Abandoned,2017,1,Female,Adult
Dog,3,February,47754,5,Adult,2017,May,Abandoned,2017,0,Female,Adult
Dog,3,February,47755,3,Adult,2017,March,Abandoned,2017,1,Female,Adult
Dog,3,February,47755,3,Adult,2017,April,Abandoned,2017,1,Female,Adult
Dog,3,February,47755,4,Adult,2017,March,Abandoned,2017,1,Female,Adult
Dog,3,February,47755,4,Adult,2017,April,Abandoned,2017,1,Female,Adult
Dog,3,February,47755,5,Adult,2017,May,Abandoned,2017,0,Female,Adult
Dog,3,February,47756,3,Adult,2017,March,Abandoned,2017,1,Female,Adult
Dog,3,February,47756,3,Adult,2017,April,Abandoned,2017,1,Female,Adult
Dog,3,February,47756,4,Adult,2017,March,Abandoned,2017,1,Female,Adult
Dog,3,February,47756,4,Adult,2017,April,Abandoned,2017,1,Female,Adult
Dog,3,February,47756,5,Adult,2017,May,Abandoned,2017,0,Female,Adult
Dog,3,February,47757,3,Adult,2017,March,Abandoned,2017,1,Female,Adult
Dog,3,February,47757,5,Adult,2017,May,Abandoned,2017,0,Female,Adult
Dog,3,February,47759,4,Geriatric,2017,April,Stray,2017,1,Female,Geriatric
Dog,3,February,47759,7,Geriatric,2017,July,Stray,2017,0,Female,Geriatric
Dog,3,February,47760,4,Adult,2017,April,Abandoned,2017,0,Male,Adult
Dog,3,February,47762,5,Mature,2017,May,Abandoned,2017,0,Female,Mature
Cat,3,February,47763,4,Senior,2017,April,Abandoned,2017,0,Female,Mature
Dog,3,February,47764,4,Adult,2017,April,Abandoned,2017,0,Female,Adult
Dog,3,February,47765,4,Adult,2017,April,Abandoned,2017,1,Male,Adult
Dog,3,February,47766,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Dog,3,February,47766,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Dog,3,February,47766,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Dog,3,February,47766,5,Adult,2017,May,Abandoned,2017,0,Male,Adult
Cat,3,February,47767,4,Mature,2017,April,Abandoned,2017,0,Male,Mature
Cat,3,February,47768,4,Adult,2017,April,Abandoned,2017,0,Female,Adult
Dog,3,February,47769,4,Adult,2017,April,Abandoned,2017,0,Male,Adult
Dog,3,February,47770,4,Senior,2017,April,Abandoned,2017,0,Female,Mature
Dog,3,February,47770,4,Senior,2017,May,Abandoned,2017,0,Female,Mature
Dog,3,February,47770,5,Senior,2017,April,Abandoned,2017,0,Female,Mature
Dog,3,February,47770,5,Senior,2017,May,Abandoned,2017,0,Female,Mature
Dog,3,February,47771,4,Senior,2017,April,Abandoned,2017,0,Female,Mature
Dog,3,February,47771,4,Senior,2017,April,Abandoned,2017,0,Female,Mature
Dog,3,February,47771,4,Senior,2017,April,Abandoned,2017,0,Female,Mature
Dog,3,February,47771,4,Senior,2017,April,Abandoned,2017,0,Female,Mature
Cat,3,February,55297,4,Geriatric,2017,April,Owner Deceased,2017,0,Male,Senior
Cat,3,February,55297,4,Geriatric,2017,June,Owner Deceased,2017,0,Male,Senior
Cat,3,February,55297,4,Geriatric,2017,August,Owner Deceased,2017,0,Male,Senior
Cat,3,February,55297,6,Geriatric,2017,April,Owner Deceased,2017,0,Male,Senior
Cat,3,February,55297,6,Geriatric,2017,June,Owner Deceased,2017,0,Male,Senior
Cat,3,February,55297,6,Geriatric,2017,August,Owner Deceased,2017,0,Male,Senior
Cat,3,February,55297,8,Geriatric,2017,April,Owner Deceased,2017,0,Male,Senior
Cat,3,February,55297,8,Geriatric,2017,June,Owner Deceased,2017,0,Male,Senior
Cat,3,February,55297,8,Geriatric,2017,August,Owner Deceased,2017,0,Male,Senior
Cat,3,February,55298,4,Adult,2017,April,Stray,2017,0,Male,Adult
Cat,3,February,55299,4,Mature,2017,April,Stray,2017,1,Female,Mature
Cat,3,February,55299,4,Mature,2017,April,Stray,2017,1,Female,Mature
Cat,3,February,55299,4,Mature,2017,April,Stray,2017,1,Female,Mature
Cat,3,February,55299,4,Mature,2017,April,Stray,2017,1,Female,Mature
Cat,3,February,55299,7,Mature,2017,July,Stray,2017,0,Female,Mature
Cat,3,February,55300,4,Adult,2017,April,TNR - Trap/Neuter/Release,2017,0,Male,Adult
Cat,3,February,55301,4,Adult,2017,April,Stray,2017,0,Female,Adult
Cat,3,February,55301,4,Adult,2017,March,Stray,2017,0,Female,Adult
Cat,3,February,55301,4,Adult,2017,January,Stray,2017,0,Female,Adult
Cat,3,February,55301,3,Adult,2017,April,Stray,2018,0,Female,Adult
Cat,3,February,55301,3,Adult,2017,March,Stray,2018,0,Female,Adult
Cat,3,February,55301,3,Adult,2017,January,Stray,2018,0,Female,Adult
Cat,3,February,55301,1,Adult,2017,April,Stray,2019,0,Female,Adult
Cat,3,February,55301,1,Adult,2017,March,Stray,2019,0,Female,Adult
Cat,3,February,55301,1,Adult,2017,January,Stray,2019,0,Female,Adult
Dog,3,February,55302,3,Adult,2017,March,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55302,3,Adult,2017,April,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55302,3,Adult,2017,April,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55302,4,Adult,2017,March,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55302,4,Adult,2017,April,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55302,4,Adult,2017,April,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55302,4,Adult,2017,March,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55302,4,Adult,2017,April,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55302,4,Adult,2017,April,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55302,4,Adult,2017,April,Unable to Afford,2017,0,Male,Adult
Cat,3,February,55303,4,Adult,2017,April,Unsuitable Accommodation,2017,1,Male,Adult
Cat,3,February,55303,7,Adult,2017,July,Unsuitable Accommodation,2017,0,Male,Adult
Dog,3,February,55304,3,Adult,2017,March,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55304,3,Adult,2017,April,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55304,3,Adult,2017,April,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55304,4,Adult,2017,March,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55304,4,Adult,2017,April,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55304,4,Adult,2017,April,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55304,4,Adult,2017,March,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55304,4,Adult,2017,April,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55304,4,Adult,2017,April,Unable to Afford,2017,1,Male,Adult
Dog,3,February,55304,4,Adult,2017,April,Unable to Afford,2017,0,Male,Adult
Dog,3,February,55305,3,Adult,2017,March,Unable to Afford,2017,1,Female,Adult
Dog,3,February,55305,3,Adult,2017,April,Unable to Afford,2017,1,Female,Adult
Dog,3,February,55305,3,Adult,2017,April,Unable to Afford,2017,1,Female,Adult
Dog,3,February,55305,4,Adult,2017,March,Unable to Afford,2017,1,Female,Adult
